Rule   (Support, Confidence) 
3,5,221 -> 91  (64.2975%, 96.4594%)
3,91,221 -> 5  (64.2975%, 99.406%)
5,91,221 -> 3  (64.2975%, 99.9573%)
3 -> 5,192,221  (64.27%, 69.2899%)
5 -> 3,192,221  (64.27%, 76.1131%)
192 -> 3,5,221  (64.27%, 80.4535%)
221 -> 3,5,192  (64.27%, 89.1511%)
3,5 -> 192,221  (64.27%, 77.4983%)
3,192 -> 5,221  (64.27%, 81.4042%)
3,221 -> 5,192  (64.27%, 89.526%)
5,192 -> 3,221  (64.27%, 82.6394%)
5,221 -> 3,192  (64.27%, 96.2598%)
192,221 -> 3,5  (64.27%, 98.4447%)
3,5,192 -> 221  (64.27%, 82.7854%)
3,5,221 -> 192  (64.27%, 96.4183%)
3,192,221 -> 5  (64.27%, 98.4861%)
5,192,221 -> 3  (64.27%, 99.9573%)
5 -> 195,197  (64.2151%, 76.0481%)
195 -> 5,197  (64.2151%, 93.9005%)
197 -> 5,195  (64.2151%, 80.9129%)
5,195 -> 197  (64.2151%, 95.5102%)
5,197 -> 195  (64.2151%, 81.4763%)
195,197 -> 5  (64.2151%, 99.8294%)
3 -> 195,197  (64.1603%, 69.1716%)
195 -> 3,197  (64.1603%, 93.8202%)
197 -> 3,195  (64.1603%, 80.8437%)
3,195 -> 197  (64.1603%, 94.3884%)
3,197 -> 195  (64.1603%, 81.1524%)
195,197 -> 3  (64.1603%, 99.744%)
91 -> 197,221  (64.1054%, 81.7641%)
197 -> 91,221  (64.1054%, 80.7746%)
221 -> 91,197  (64.1054%, 88.9227%)
91,197 -> 221  (64.1054%, 85.1622%)
91,221 -> 197  (64.1054%, 99.067%)
197,221 -> 91  (64.1054%, 97.131%)
6 -> 195,197  (64.0779%, 72.2686%)
195 -> 6,197  (64.0779%, 93.6998%)
197 -> 6,195  (64.0779%, 80.74%)
6,195 -> 197  (64.0779%, 95.6575%)
6,197 -> 195  (64.0779%, 81.2457%)
195,197 -> 6  (64.0779%, 99.616%)
192 -> 197,221  (64.0779%, 80.213%)
197 -> 192,221  (64.0779%, 80.74%)
221 -> 192,197  (64.0779%, 88.8847%)
192,197 -> 221  (64.0779%, 84.296%)
192,221 -> 197  (64.0779%, 98.1505%)
197,221 -> 192  (64.0779%, 97.0894%)
3 -> 5,195,197  (64.0505%, 69.0533%)
5 -> 3,195,197  (64.0505%, 75.8531%)
195 -> 3,5,197  (64.0505%, 93.6597%)
197 -> 3,5,195  (64.0505%, 80.7054%)
3,5 -> 195,197  (64.0505%, 77.2336%)
3,195 -> 5,197  (64.0505%, 94.2269%)
3,197 -> 5,195  (64.0505%, 81.0135%)
5,195 -> 3,197  (64.0505%, 95.2653%)
5,197 -> 3,195  (64.0505%, 81.2674%)
195,197 -> 3,5  (64.0505%, 99.5734%)
3,5,195 -> 197  (64.0505%, 95.6166%)
3,5,197 -> 195  (64.0505%, 81.5514%)
3,195,197 -> 5  (64.0505%, 99.8289%)
5,195,197 -> 3  (64.0505%, 99.7436%)
3 -> 6,195,197  (63.9133%, 68.9053%)
6 -> 3,195,197  (63.9133%, 72.0829%)
195 -> 3,6,197  (63.9133%, 93.4591%)
197 -> 3,6,195  (63.9133%, 80.5325%)
3,6 -> 195,197  (63.9133%, 73.239%)
3,195 -> 6,197  (63.9133%, 94.025%)
3,197 -> 6,195  (63.9133%, 80.84%)
6,195 -> 3,197  (63.9133%, 95.4117%)
6,197 -> 3,195  (63.9133%, 81.0369%)
195,197 -> 3,6  (63.9133%, 99.3601%)
3,6,195 -> 197  (63.9133%, 95.8436%)
3,6,197 -> 195  (63.9133%, 81.3482%)
3,195,197 -> 6  (63.9133%, 99.6151%)
6,195,197 -> 3  (63.9133%, 99.743%)
91 -> 192,221  (63.7761%, 81.3441%)
192 -> 91,221  (63.7761%, 79.8351%)
221 -> 91,192  (63.7761%, 88.4659%)
91,192 -> 221  (63.7761%, 84.081%)
91,221 -> 192  (63.7761%, 98.5581%)
192,221 -> 91  (63.7761%, 97.6881%)
6 -> 11  (63.6937%, 71.8353%)
11 -> 6  (63.6937%, 99.8709%)
3 -> 11  (63.6663%, 68.6391%)
11 -> 3  (63.6663%, 99.8279%)
5 -> 11  (63.6663%, 75.3981%)
11 -> 5  (63.6663%, 99.8279%)
33 -> 221  (63.6114%, 86.2351%)
221 -> 33  (63.6114%, 88.2375%)
192 -> 195  (63.6114%, 79.629%)
195 -> 192  (63.6114%, 93.0177%)
3 -> 6,11  (63.6114%, 68.5799%)
6 -> 3,11  (63.6114%, 71.7425%)
11 -> 3,6  (63.6114%, 99.7418%)
3,6 -> 11  (63.6114%, 72.8931%)
3,11 -> 6  (63.6114%, 99.9138%)
6,11 -> 3  (63.6114%, 99.8707%)
5 -> 6,11  (63.6114%, 75.3331%)
6 -> 5,11  (63.6114%, 71.7425%)
11 -> 5,6  (63.6114%, 99.7418%)
5,6 -> 11  (63.6114%, 76.8823%)
5,11 -> 6  (63.6114%, 99.9138%)
6,11 -> 5  (63.6114%, 99.8707%)
3 -> 33,221  (63.584%, 68.5503%)
33 -> 3,221  (63.584%, 86.1979%)
221 -> 3,33  (63.584%, 88.1995%)
3,33 -> 221  (63.584%, 86.3908%)
3,221 -> 33  (63.584%, 88.5703%)
33,221 -> 3  (63.584%, 99.9569%)
3 -> 192,195  (63.584%, 68.5503%)
192 -> 3,195  (63.584%, 79.5946%)
195 -> 3,192  (63.584%, 92.9775%)
3,192 -> 195  (63.584%, 80.5353%)
3,195 -> 192  (63.584%, 93.5406%)
192,195 -> 3  (63.584%, 99.9569%)
6 -> 33,221  (63.584%, 71.7115%)
33 -> 6,221  (63.584%, 86.1979%)
221 -> 6,33  (63.584%, 88.1995%)
6,33 -> 221  (63.584%, 86.7141%)
6,221 -> 33  (63.584%, 89.2871%)
33,221 -> 6  (63.584%, 99.9569%)
3 -> 5,11  (63.5565%, 68.5207%)
5 -> 3,11  (63.5565%, 75.2681%)
11 -> 3,5  (63.5565%, 99.6558%)
3,5 -> 11  (63.5565%, 76.638%)
3,11 -> 5  (63.5565%, 99.8276%)
5,11 -> 3  (63.5565%, 99.8276%)
5 -> 33,221  (63.5565%, 75.2681%)
33 -> 5,221  (63.5565%, 86.1607%)
221 -> 5,33  (63.5565%, 88.1614%)
5,33 -> 221  (63.5565%, 86.4824%)
5,221 -> 33  (63.5565%, 95.1911%)
33,221 -> 5  (63.5565%, 99.9137%)
3 -> 5,33,221  (63.5565%, 68.5207%)
5 -> 3,33,221  (63.5565%, 75.2681%)
33 -> 3,5,221  (63.5565%, 86.1607%)
221 -> 3,5,33  (63.5565%, 88.1614%)
3,5 -> 33,221  (63.5565%, 76.638%)
3,33 -> 5,221  (63.5565%, 86.3535%)
3,221 -> 5,33  (63.5565%, 88.5321%)
5,33 -> 3,221  (63.5565%, 86.4824%)
5,221 -> 3,33  (63.5565%, 95.1911%)
33,221 -> 3,5  (63.5565%, 99.9137%)
3,5,33 -> 221  (63.5565%, 86.6118%)
3,5,221 -> 33  (63.5565%, 95.3479%)
3,33,221 -> 5  (63.5565%, 99.9568%)
5,33,221 -> 3  (63.5565%, 100%)
3 -> 6,33,221  (63.5565%, 68.5207%)
6 -> 3,33,221  (63.5565%, 71.6806%)
33 -> 3,6,221  (63.5565%, 86.1607%)
221 -> 3,6,33  (63.5565%, 88.1614%)
3,6 -> 33,221  (63.5565%, 72.8302%)
3,33 -> 6,221  (63.5565%, 86.3535%)
3,221 -> 6,33  (63.5565%, 88.5321%)
6,33 -> 3,221  (63.5565%, 86.6766%)
6,221 -> 3,33  (63.5565%, 89.2486%)
33,221 -> 3,6  (63.5565%, 99.9137%)
3,6,33 -> 221  (63.5565%, 86.8066%)
3,6,221 -> 33  (63.5565%, 89.5592%)
3,33,221 -> 6  (63.5565%, 99.9568%)
6,33,221 -> 3  (63.5565%, 99.9568%)
6 -> 174  (63.5291%, 71.6496%)
174 -> 6  (63.5291%, 99.3989%)
3 -> 5,6,11  (63.5291%, 68.4911%)
5 -> 3,6,11  (63.5291%, 75.2356%)
6 -> 3,5,11  (63.5291%, 71.6496%)
11 -> 3,5,6  (63.5291%, 99.6127%)
3,5 -> 6,11  (63.5291%, 76.6049%)
3,6 -> 5,11  (63.5291%, 72.7987%)
3,11 -> 5,6  (63.5291%, 99.7845%)
5,6 -> 3,11  (63.5291%, 76.7828%)
5,11 -> 3,6  (63.5291%, 99.7845%)
6,11 -> 3,5  (63.5291%, 99.7415%)
3,5,6 -> 11  (63.5291%, 77.7367%)
3,5,11 -> 6  (63.5291%, 99.9568%)
3,6,11 -> 5  (63.5291%, 99.8706%)
5,6,11 -> 3  (63.5291%, 99.8706%)
3 -> 174  (63.5016%, 68.4615%)
174 -> 3  (63.5016%, 99.3559%)
11 -> 45  (63.5016%, 99.5697%)
45 -> 11  (63.5016%, 87.7512%)
5 -> 192,195  (63.4742%, 75.1706%)
192 -> 5,195  (63.4742%, 79.4572%)
195 -> 5,192  (63.4742%, 92.817%)
5,192 -> 195  (63.4742%, 81.6161%)
5,195 -> 192  (63.4742%, 94.4082%)
192,195 -> 5  (63.4742%, 99.7843%)
5 -> 11,45  (63.4468%, 75.1381%)
11 -> 5,45  (63.4468%, 99.4836%)
45 -> 5,11  (63.4468%, 87.6754%)
5,11 -> 45  (63.4468%, 99.6552%)
5,45 -> 11  (63.4468%, 89.1631%)
11,45 -> 5  (63.4468%, 99.9136%)
6 -> 11,45  (63.4468%, 71.5568%)
11 -> 6,45  (63.4468%, 99.4836%)
45 -> 6,11  (63.4468%, 87.6754%)
6,11 -> 45  (63.4468%, 99.6122%)
6,45 -> 11  (63.4468%, 88.2443%)
11,45 -> 6  (63.4468%, 99.9136%)
3 -> 5,192,195  (63.4468%, 68.4024%)
5 -> 3,192,195  (63.4468%, 75.1381%)
192 -> 3,5,195  (63.4468%, 79.4229%)
195 -> 3,5,192  (63.4468%, 92.7769%)
3,5 -> 192,195  (63.4468%, 76.5056%)
3,192 -> 5,195  (63.4468%, 80.3615%)
3,195 -> 5,192  (63.4468%, 93.3387%)
5,192 -> 3,195  (63.4468%, 81.5808%)
5,195 -> 3,192  (63.4468%, 94.3673%)
192,195 -> 3,5  (63.4468%, 99.7412%)
3,5,192 -> 195  (63.4468%, 81.725%)
3,5,195 -> 192  (63.4468%, 94.7153%)
3,192,195 -> 5  (63.4468%, 99.7842%)
5,192,195 -> 3  (63.4468%, 99.9568%)
3 -> 11,45  (63.4193%, 68.3728%)
11 -> 3,45  (63.4193%, 99.4406%)
45 -> 3,11  (63.4193%, 87.6375%)
3,11 -> 45  (63.4193%, 99.6121%)
3,45 -> 11  (63.4193%, 87.9376%)
11,45 -> 3  (63.4193%, 99.8704%)
3 -> 5,11,45  (63.3644%, 68.3136%)
5 -> 3,11,45  (63.3644%, 75.0406%)
11 -> 3,5,45  (63.3644%, 99.3546%)
45 -> 3,5,11  (63.3644%, 87.5616%)
3,5 -> 11,45  (63.3644%, 76.4064%)
3,11 -> 5,45  (63.3644%, 99.5259%)
3,45 -> 5,11  (63.3644%, 87.8615%)
5,11 -> 3,45  (63.3644%, 99.5259%)
5,45 -> 3,11  (63.3644%, 89.0474%)
11,45 -> 3,5  (63.3644%, 99.7839%)
3,5,11 -> 45  (63.3644%, 99.6978%)
3,5,45 -> 11  (63.3644%, 89.254%)
3,11,45 -> 5  (63.3644%, 99.9135%)
5,11,45 -> 3  (63.3644%, 99.8702%)
3 -> 6,11,45  (63.3644%, 68.3136%)
6 -> 3,11,45  (63.3644%, 71.4639%)
11 -> 3,6,45  (63.3644%, 99.3546%)
45 -> 3,6,11  (63.3644%, 87.5616%)
3,6 -> 11,45  (63.3644%, 72.6101%)
3,11 -> 6,45  (63.3644%, 99.5259%)
3,45 -> 6,11  (63.3644%, 87.8615%)
6,11 -> 3,45  (63.3644%, 99.483%)
6,45 -> 3,11  (63.3644%, 88.1298%)
11,45 -> 3,6  (63.3644%, 99.7839%)
3,6,11 -> 45  (63.3644%, 99.6117%)
3,6,45 -> 11  (63.3644%, 88.3321%)
3,11,45 -> 6  (63.3644%, 99.9135%)
6,11,45 -> 3  (63.3644%, 99.8702%)
6 -> 192,195  (63.3095%, 71.402%)
192 -> 6,195  (63.3095%, 79.2511%)
195 -> 6,192  (63.3095%, 92.5762%)
6,192 -> 195  (63.3095%, 80.7208%)
6,195 -> 192  (63.3095%, 94.5104%)
192,195 -> 6  (63.3095%, 99.5255%)
11 -> 192  (63.2821%, 99.2255%)
192 -> 11  (63.2821%, 79.2168%)
3 -> 6,192,195  (63.2821%, 68.2249%)
6 -> 3,192,195  (63.2821%, 71.3711%)
192 -> 3,6,195  (63.2821%, 79.2168%)
195 -> 3,6,192  (63.2821%, 92.5361%)
3,6 -> 192,195  (63.2821%, 72.5157%)
3,192 -> 6,195  (63.2821%, 80.1529%)
3,195 -> 6,192  (63.2821%, 93.0965%)
6,192 -> 3,195  (63.2821%, 80.6858%)
6,195 -> 3,192  (63.2821%, 94.4695%)
192,195 -> 3,6  (63.2821%, 99.4823%)
3,6,192 -> 195  (63.2821%, 80.7989%)
3,6,195 -> 192  (63.2821%, 94.8971%)
3,192,195 -> 6  (63.2821%, 99.5252%)
6,192,195 -> 3  (63.2821%, 99.9567%)
5 -> 11,192  (63.2547%, 74.9106%)
11 -> 5,192  (63.2547%, 99.1824%)
192 -> 5,11  (63.2547%, 79.1824%)
5,11 -> 192  (63.2547%, 99.3534%)
5,192 -> 11  (63.2547%, 81.3338%)
11,192 -> 5  (63.2547%, 99.9566%)
6 -> 11,192  (63.2547%, 71.3401%)
11 -> 6,192  (63.2547%, 99.1824%)
192 -> 6,11  (63.2547%, 79.1824%)
6,11 -> 192  (63.2547%, 99.3106%)
6,192 -> 11  (63.2547%, 80.6508%)
11,192 -> 6  (63.2547%, 99.9566%)
3 -> 11,192  (63.2272%, 68.1657%)
11 -> 3,192  (63.2272%, 99.1394%)
192 -> 3,11  (63.2272%, 79.1481%)
3,11 -> 192  (63.2272%, 99.3103%)
3,192 -> 11  (63.2272%, 80.0834%)
11,192 -> 3  (63.2272%, 99.9133%)
3 -> 6,174  (63.1998%, 68.1361%)
6 -> 3,174  (63.1998%, 71.2782%)
174 -> 3,6  (63.1998%, 98.8836%)
3,6 -> 174  (63.1998%, 72.4214%)
3,174 -> 6  (63.1998%, 99.5246%)
6,174 -> 3  (63.1998%, 99.4816%)
3 -> 5,11,192  (63.1998%, 68.1361%)
5 -> 3,11,192  (63.1998%, 74.8456%)
11 -> 3,5,192  (63.1998%, 99.0964%)
192 -> 3,5,11  (63.1998%, 79.1137%)
3,5 -> 11,192  (63.1998%, 76.2078%)
3,11 -> 5,192  (63.1998%, 99.2672%)
3,192 -> 5,11  (63.1998%, 80.0487%)
5,11 -> 3,192  (63.1998%, 99.2672%)
5,192 -> 3,11  (63.1998%, 81.2632%)
11,192 -> 3,5  (63.1998%, 99.8699%)
3,5,11 -> 192  (63.1998%, 99.4387%)
3,5,192 -> 11  (63.1998%, 81.4069%)
3,11,192 -> 5  (63.1998%, 99.9566%)
5,11,192 -> 3  (63.1998%, 99.9132%)
3 -> 6,11,192  (63.1998%, 68.1361%)
6 -> 3,11,192  (63.1998%, 71.2782%)
11 -> 3,6,192  (63.1998%, 99.0964%)
192 -> 3,6,11  (63.1998%, 79.1137%)
3,6 -> 11,192  (63.1998%, 72.4214%)
3,11 -> 6,192  (63.1998%, 99.2672%)
3,192 -> 6,11  (63.1998%, 80.0487%)
6,11 -> 3,192  (63.1998%, 99.2245%)
6,192 -> 3,11  (63.1998%, 80.5808%)
11,192 -> 3,6  (63.1998%, 99.8699%)
3,6,11 -> 192  (63.1998%, 99.3529%)
3,6,192 -> 11  (63.1998%, 80.6938%)
3,11,192 -> 6  (63.1998%, 99.9566%)
6,11,192 -> 3  (63.1998%, 99.9132%)
11 -> 197  (63.1723%, 99.0534%)
197 -> 11  (63.1723%, 79.5989%)
6 -> 11,197  (63.1723%, 71.2473%)
11 -> 6,197  (63.1723%, 99.0534%)
197 -> 6,11  (63.1723%, 79.5989%)
6,11 -> 197  (63.1723%, 99.1814%)
6,197 -> 11  (63.1723%, 80.0974%)
11,197 -> 6  (63.1723%, 100%)
3 -> 11,197  (63.1449%, 68.0769%)
11 -> 3,197  (63.1449%, 99.0103%)
197 -> 3,11  (63.1449%, 79.5643%)
3,11 -> 197  (63.1449%, 99.181%)
3,197 -> 11  (63.1449%, 79.8681%)
11,197 -> 3  (63.1449%, 99.9566%)
5 -> 11,197  (63.1449%, 74.7806%)
11 -> 5,197  (63.1449%, 99.0103%)
197 -> 5,11  (63.1449%, 79.5643%)
5,11 -> 197  (63.1449%, 99.181%)
5,197 -> 11  (63.1449%, 80.1184%)
11,197 -> 5  (63.1449%, 99.9566%)
3 -> 6,11,197  (63.1449%, 68.0769%)
6 -> 3,11,197  (63.1449%, 71.2163%)
11 -> 3,6,197  (63.1449%, 99.0103%)
197 -> 3,6,11  (63.1449%, 79.5643%)
3,6 -> 11,197  (63.1449%, 72.3585%)
3,11 -> 6,197  (63.1449%, 99.181%)
3,197 -> 6,11  (63.1449%, 79.8681%)
6,11 -> 3,197  (63.1449%, 99.1383%)
6,197 -> 3,11  (63.1449%, 80.0626%)
11,197 -> 3,6  (63.1449%, 99.9566%)
3,6,11 -> 197  (63.1449%, 99.2666%)
3,6,197 -> 11  (63.1449%, 80.3702%)
3,11,197 -> 6  (63.1449%, 100%)
6,11,197 -> 3  (63.1449%, 99.9566%)
11 -> 45,192  (63.1175%, 98.9673%)
45 -> 11,192  (63.1175%, 87.2203%)
192 -> 11,45  (63.1175%, 79.0106%)
11,45 -> 192  (63.1175%, 99.395%)
11,192 -> 45  (63.1175%, 99.7398%)
45,192 -> 11  (63.1175%, 90.1961%)
3 -> 5,11,197  (63.1175%, 68.0473%)
5 -> 3,11,197  (63.1175%, 74.7481%)
11 -> 3,5,197  (63.1175%, 98.9673%)
197 -> 3,5,11  (63.1175%, 79.5297%)
3,5 -> 11,197  (63.1175%, 76.1085%)
3,11 -> 5,197  (63.1175%, 99.1379%)
3,197 -> 5,11  (63.1175%, 79.8334%)
5,11 -> 3,197  (63.1175%, 99.1379%)
5,197 -> 3,11  (63.1175%, 80.0836%)
11,197 -> 3,5  (63.1175%, 99.9131%)
3,5,11 -> 197  (63.1175%, 99.3092%)
3,5,197 -> 11  (63.1175%, 80.3634%)
3,11,197 -> 5  (63.1175%, 99.9565%)
5,11,197 -> 3  (63.1175%, 99.9565%)
11 -> 45,197  (63.0626%, 98.8812%)
45 -> 11,197  (63.0626%, 87.1445%)
197 -> 11,45  (63.0626%, 79.4606%)
11,45 -> 197  (63.0626%, 99.3086%)
11,197 -> 45  (63.0626%, 99.8262%)
45,197 -> 11  (63.0626%, 90.6867%)
33 -> 197,221  (63.0626%, 85.4911%)
197 -> 33,221  (63.0626%, 79.4606%)
221 -> 33,197  (63.0626%, 87.4762%)
33,197 -> 221  (63.0626%, 87.8776%)
33,221 -> 197  (63.0626%, 99.1372%)
197,221 -> 33  (63.0626%, 95.5509%)
3 -> 11,45,192  (63.0626%, 67.9882%)
11 -> 3,45,192  (63.0626%, 98.8812%)
45 -> 3,11,192  (63.0626%, 87.1445%)
192 -> 3,11,45  (63.0626%, 78.9419%)
3,11 -> 45,192  (63.0626%, 99.0517%)
3,45 -> 11,192  (63.0626%, 87.4429%)
3,192 -> 11,45  (63.0626%, 79.8749%)
11,45 -> 3,192  (63.0626%, 99.3086%)
11,192 -> 3,45  (63.0626%, 99.6531%)
45,192 -> 3,11  (63.0626%, 90.1176%)
3,11,45 -> 192  (63.0626%, 99.4375%)
3,11,192 -> 45  (63.0626%, 99.7396%)
3,45,192 -> 11  (63.0626%, 90.2592%)
11,45,192 -> 3  (63.0626%, 99.913%)
3 -> 33,197,221  (63.0626%, 67.9882%)
33 -> 3,197,221  (63.0626%, 85.4911%)
197 -> 3,33,221  (63.0626%, 79.4606%)
221 -> 3,33,197  (63.0626%, 87.4762%)
3,33 -> 197,221  (63.0626%, 85.6823%)
3,197 -> 33,221  (63.0626%, 79.764%)
3,221 -> 33,197  (63.0626%, 87.844%)
33,197 -> 3,221  (63.0626%, 87.8776%)
33,221 -> 3,197  (63.0626%, 99.1372%)
197,221 -> 3,33  (63.0626%, 95.5509%)
3,33,197 -> 221  (63.0626%, 87.9112%)
3,33,221 -> 197  (63.0626%, 99.18%)
3,197,221 -> 33  (63.0626%, 95.6305%)
33,197,221 -> 3  (63.0626%, 100%)
11 -> 33  (63.0351%, 98.8382%)
33 -> 11  (63.0351%, 85.4539%)
11 -> 125  (63.0351%, 98.8382%)
125 -> 11  (63.0351%, 88.1766%)
3 -> 11,45,197  (63.0351%, 67.9586%)
11 -> 3,45,197  (63.0351%, 98.8382%)
45 -> 3,11,197  (63.0351%, 87.1066%)
197 -> 3,11,45  (63.0351%, 79.426%)
3,11 -> 45,197  (63.0351%, 99.0086%)
3,45 -> 11,197  (63.0351%, 87.4049%)
3,197 -> 11,45  (63.0351%, 79.7293%)
11,45 -> 3,197  (63.0351%, 99.2653%)
11,197 -> 3,45  (63.0351%, 99.7828%)
45,197 -> 3,11  (63.0351%, 90.6472%)
3,11,45 -> 197  (63.0351%, 99.3942%)
3,11,197 -> 45  (63.0351%, 99.8262%)
3,45,197 -> 11  (63.0351%, 90.7546%)
11,45,197 -> 3  (63.0351%, 99.9565%)
5 -> 11,33  (63.0077%, 74.6181%)
11 -> 5,33  (63.0077%, 98.7952%)
33 -> 5,11  (63.0077%, 85.4167%)
5,11 -> 33  (63.0077%, 98.9655%)
5,33 -> 11  (63.0077%, 85.7356%)
11,33 -> 5  (63.0077%, 99.9565%)
5 -> 11,125  (63.0077%, 74.6181%)
11 -> 5,125  (63.0077%, 98.7952%)
125 -> 5,11  (63.0077%, 88.1382%)
5,11 -> 125  (63.0077%, 98.9655%)
5,125 -> 11  (63.0077%, 89.7225%)
11,125 -> 5  (63.0077%, 99.9565%)
6 -> 11,33  (63.0077%, 71.0616%)
11 -> 6,33  (63.0077%, 98.7952%)
33 -> 6,11  (63.0077%, 85.4167%)
6,11 -> 33  (63.0077%, 98.9229%)
6,33 -> 11  (63.0077%, 85.9281%)
11,33 -> 6  (63.0077%, 99.9565%)
6 -> 11,125  (63.0077%, 71.0616%)
11 -> 6,125  (63.0077%, 98.7952%)
125 -> 6,11  (63.0077%, 88.1382%)
6,11 -> 125  (63.0077%, 98.9229%)
6,125 -> 11  (63.0077%, 88.8545%)
11,125 -> 6  (63.0077%, 99.9565%)
11 -> 192,197  (63.0077%, 98.7952%)
192 -> 11,197  (63.0077%, 78.8732%)
197 -> 11,192  (63.0077%, 79.3914%)
11,192 -> 197  (63.0077%, 99.5663%)
11,197 -> 192  (63.0077%, 99.7394%)
192,197 -> 11  (63.0077%, 82.8881%)
3 -> 11,33  (62.9802%, 67.8994%)
11 -> 3,33  (62.9802%, 98.7522%)
33 -> 3,11  (62.9802%, 85.3795%)
3,11 -> 33  (62.9802%, 98.9224%)
3,33 -> 11  (62.9802%, 85.5705%)
11,33 -> 3  (62.9802%, 99.9129%)
3 -> 11,125  (62.9802%, 67.8994%)
11 -> 3,125  (62.9802%, 98.7522%)
125 -> 3,11  (62.9802%, 88.0998%)
3,11 -> 125  (62.9802%, 98.9224%)
3,125 -> 11  (62.9802%, 88.3372%)
11,125 -> 3  (62.9802%, 99.9129%)
3 -> 11,192,197  (62.9802%, 67.8994%)
11 -> 3,192,197  (62.9802%, 98.7522%)
192 -> 3,11,197  (62.9802%, 78.8389%)
197 -> 3,11,192  (62.9802%, 79.3568%)
3,11 -> 192,197  (62.9802%, 98.9224%)
3,192 -> 11,197  (62.9802%, 79.7706%)
3,197 -> 11,192  (62.9802%, 79.6598%)
11,192 -> 3,197  (62.9802%, 99.523%)
11,197 -> 3,192  (62.9802%, 99.6959%)
192,197 -> 3,11  (62.9802%, 82.852%)
3,11,192 -> 197  (62.9802%, 99.6094%)
3,11,197 -> 192  (62.9802%, 99.7392%)
3,192,197 -> 11  (62.9802%, 82.9418%)
11,192,197 -> 3  (62.9802%, 99.9564%)
45 -> 221  (62.9528%, 86.9928%)
221 -> 45  (62.9528%, 87.3239%)
6 -> 45,221  (62.9528%, 70.9997%)
45 -> 6,221  (62.9528%, 86.9928%)
221 -> 6,45  (62.9528%, 87.3239%)
6,45 -> 221  (62.9528%, 87.5573%)
6,221 -> 45  (62.9528%, 88.4008%)
45,221 -> 6  (62.9528%, 100%)
3 -> 5,11,33  (62.9528%, 67.8698%)
5 -> 3,11,33  (62.9528%, 74.5531%)
11 -> 3,5,33  (62.9528%, 98.7091%)
33 -> 3,5,11  (62.9528%, 85.3423%)
3,5 -> 11,33  (62.9528%, 75.91%)
3,11 -> 5,33  (62.9528%, 98.8793%)
3,33 -> 5,11  (62.9528%, 85.5332%)
5,11 -> 3,33  (62.9528%, 98.8793%)
5,33 -> 3,11  (62.9528%, 85.6609%)
11,33 -> 3,5  (62.9528%, 99.8694%)
3,5,11 -> 33  (62.9528%, 99.0501%)
3,5,33 -> 11  (62.9528%, 85.7891%)
3,11,33 -> 5  (62.9528%, 99.9564%)
5,11,33 -> 3  (62.9528%, 99.9129%)
3 -> 5,11,125  (62.9528%, 67.8698%)
5 -> 3,11,125  (62.9528%, 74.5531%)
11 -> 3,5,125  (62.9528%, 98.7091%)
125 -> 3,5,11  (62.9528%, 88.0614%)
3,5 -> 11,125  (62.9528%, 75.91%)
3,11 -> 5,125  (62.9528%, 98.8793%)
3,125 -> 5,11  (62.9528%, 88.2987%)
5,11 -> 3,125  (62.9528%, 98.8793%)
5,125 -> 3,11  (62.9528%, 89.6444%)
11,125 -> 3,5  (62.9528%, 99.8694%)
3,5,11 -> 125  (62.9528%, 99.0501%)
3,5,125 -> 11  (62.9528%, 89.7145%)
3,11,125 -> 5  (62.9528%, 99.9564%)
5,11,125 -> 3  (62.9528%, 99.9129%)
3 -> 6,11,33  (62.9528%, 67.8698%)
6 -> 3,11,33  (62.9528%, 70.9997%)
11 -> 3,6,33  (62.9528%, 98.7091%)
33 -> 3,6,11  (62.9528%, 85.3423%)
3,6 -> 11,33  (62.9528%, 72.1384%)
3,11 -> 6,33  (62.9528%, 98.8793%)
3,33 -> 6,11  (62.9528%, 85.5332%)
6,11 -> 3,33  (62.9528%, 98.8367%)
6,33 -> 3,11  (62.9528%, 85.8533%)
11,33 -> 3,6  (62.9528%, 99.8694%)
3,6,11 -> 33  (62.9528%, 98.9646%)
3,6,33 -> 11  (62.9528%, 85.982%)
3,11,33 -> 6  (62.9528%, 99.9564%)
6,11,33 -> 3  (62.9528%, 99.9129%)
3 -> 6,11,125  (62.9528%, 67.8698%)
6 -> 3,11,125  (62.9528%, 70.9997%)
11 -> 3,6,125  (62.9528%, 98.7091%)
125 -> 3,6,11  (62.9528%, 88.0614%)
3,6 -> 11,125  (62.9528%, 72.1384%)
3,11 -> 6,125  (62.9528%, 98.8793%)
3,125 -> 6,11  (62.9528%, 88.2987%)
6,11 -> 3,125  (62.9528%, 98.8367%)
6,125 -> 3,11  (62.9528%, 88.7771%)
11,125 -> 3,6  (62.9528%, 99.8694%)
3,6,11 -> 125  (62.9528%, 98.9646%)
3,6,125 -> 11  (62.9528%, 88.8459%)
3,11,125 -> 6  (62.9528%, 99.9564%)
6,11,125 -> 3  (62.9528%, 99.9129%)
91 -> 195  (62.9254%, 80.259%)
195 -> 91  (62.9254%, 92.0144%)
3 -> 45,221  (62.9254%, 67.8402%)
45 -> 3,221  (62.9254%, 86.9549%)
221 -> 3,45  (62.9254%, 87.2859%)
3,45 -> 221  (62.9254%, 87.2527%)
3,221 -> 45  (62.9254%, 87.6529%)
45,221 -> 3  (62.9254%, 99.9564%)
3 -> 6,45,221  (62.9254%, 67.8402%)
